===20240101更新by似水流年===
== 亚洲节目 ==,#genre#
香港-ViuTV,http://c-leung.homeip.net:8011/bysid/99
香港-ViuTV,http://r.jdshipin.com/vSJvl
香港-ViuTV,http://tv.beimua.com/tvs.php?id=15
香港-TVB J2,http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=MA8A1176878411768784&ct=19225&tsum=fea41bb592165942b9971148376f8b70
香港-RTHK32,http://2022.stream-link.org/tv/262124223
香港-RTHK32,http://c-leung.homeip.net:8013/bysid/32
香港-RTHK32,http://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
香港-RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
香港-RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
香港-RTHK31,http://2022.stream-link.org/tv/1412822772
香港-RTHK31,http://c-leung.homeip.net:8013/bysid/31
香港-RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
香港-J2,http://r.jdshipin.com/Nr5jq#http://r.jdshipin.com/ndGgS
香港-HOY TV,http://2022.stream-link.org/tv/781469440
香港-HOY TV,http://2022.stream-link.org/tv/914130259
香港-HOY TV,http://livetv.dnsfor.me/channel.9.m3u8
香港-HOY TV,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
台湾-中天综合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
台湾-中天综合,http://2023.stream-link.org/tv/357535870
台湾-中天娱乐,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=m6780c60bd34a13540795&ct=17874&tsum=06089e289a460b0685447b7656d550e3
台湾-中天娱乐,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MDED1780059017800590&ct=19226&tsum=4d05ea700aa8fd436b51ce703680e674
台湾-中天娱乐,http://50.7.238.114:8278/ctient/playlist.m3u8?tid=MDED1780059017800590&ct=19226&tsum=4d05ea700aa8fd436b51ce703680e674
台湾-中天亚洲,http://2023.stream-link.org/tv/973103771
台湾-中天新闻,http://2023.stream-link.org/tv/280231259
台湾-中视新闻,http://2023.stream-link.org/tv/389451789
台湾-中视经典,http://198.16.100.90:8278/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
台湾-中视经典,http://198.16.100.90:8278/zhongshi_twn/playlist.m3u8?tid=mffe9aaf8765f&ct=18335&tsum=bcdd7a2ce4a5498b1449cb26a01150c0
台湾-中视经典,http://50.7.238.114:8278/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
台湾-纬来日本,http://50.7.238.114:8278/videolandjapan/playlist.m3u8?tid=MBAB7250273772502737&ct=19344&tsum=2b580b485643235654de4a1bbc9639cb
台湾-探索亚洲,http://198.16.100.90:8278/discoverytwn_twn/playlist.m3u8?tid=m42a2d91d6f2413622196&ct=17874&tsum=3653c4c61f0a0443dbb256dc465b4715
台湾-探索亚洲,http://198.16.100.90:8278/discoverytwn_twn/playlist.m3u8?tid=MAAA4463833744638337&ct=18393&tsum=c4bd4c633430327425e073012785525e
台湾-台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
台湾-台视新闻,http://2023.stream-link.org/tv/1558743392
台湾-台视新闻,http://2023.stream-link.org/tv/723728651
台湾-台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台湾-三立新闻+,http://2023.stream-link.org/tv/728100935
台湾-三立新闻,http://2023.stream-link.org/tv/1698256848
台湾-三立戏剧台,http://198.16.100.90:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
台湾-三立戏剧台,http://198.16.100.90:8278/sanlixiju_twn/playlist.m3u8?tid=MCFC5174201151742011&ct=19193&tsum=27477ddeec029345da276c2c903f09c2
台湾-三立财经,http://2023.stream-link.org/tv/2011233628
台湾-民视新闻,http://120.84.96.109:808/hls/34/index.m3u8
台湾-民视新闻,http://123.51.230.108:18663/.m3u8
台湾-民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
台湾-民视台湾,http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
台湾-靖天卡通,http://198.16.100.90:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
台湾-靖天卡通,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
台湾-靖天国际,http://198.16.100.90:8278/jingtianintl_twn/playlist.m3u8?tid=ME4E7632479576324795&ct=19226&tsum=9922eeed6392b21e1710ba791cc599d6
台湾-寰宇台湾新闻,http://2023.stream-link.org/tv/1008347635
台湾-寰宇国际新闻,http://2023.stream-link.org/tv/538334982
台湾-华视新闻,http://2023.stream-link.org/tv/686953698
台湾-番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
台湾-东森综合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
台湾-东森幼幼,http://2023.stream-link.org/tv/1099757482
台湾-东森洋片,http://120.84.96.109:808/hls/33/index.m3u8
台湾-东森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MA6A9686180296861802&ct=19193&tsum=79b2173b4455c70b50330eed478049a4
台湾-东森洋片,http://50.7.238.114:8278/ettvwestern/playlist.m3u8?tid=MB7B8303252483032524&ct=19249&tsum=14f89967cdf6c504230be29a87cc54f0
台湾-东森新闻,http://2023.stream-link.org/tv/1919365097
台湾-东森戏剧,http://123.51.230.108:18538/.m3u8
台湾-东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
台湾-东森电影,http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
台湾-东森财经,http://2023.stream-link.org/tv/203448254
台湾-东森LIVE,http://198.16.100.90:8278/ettvnews/playlist.m3u8?ct=19225&tid=MAEA2793211727932117&tsum=151345e2ab6bc0c89ac85598f1988cd3
台湾-东风卫视,http://123.51.230.108:18560/.m3u8
台湾-大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
台湾-大爱电视,http://50.7.238.114:8278/daai_twn/playlist.m3u8?tid=m22178fccc70212656308&ct=17874&tsum=68bbc63cc5cb649ef5df75b1f0296336
台湾-大爱2台,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
台湾-大爱2台,http://pulltv2.wanfudaluye.com/live/tv2.m3u8
台湾-大爱2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
台湾-大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
台湾-大爱1台,http://pulltv1.wanfudaluye.com/live/tv1.m3u8
台湾-大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
台湾-大爱1台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
台湾-八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=mfb8d64b6276514171054&ct=17874&tsum=a87466c997089ea7dce98cd17301667d
台湾-八大综合,http://50.7.238.114:8278/badazhonghe/playlist.m3u8?ct=19225&tid=MC7C4692263546922635&tsum=ffdc7a6397b511103e0df0b92e678790
台湾-八大戏剧,http://198.16.100.90:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
台湾-八大戏剧,http://198.16.100.90:8278/badadrama/playlist.m3u8?tid=m4a65d3abd9ee13871929&ct=17924&tsum=8e5ef501e42d00cdc6a761ca3dc693d8
台湾-八大第一台,http://50.7.238.114:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
台湾-爱尔达体育2台,http://198.16.100.90:8278/eltasport2_twn/playlist.m3u8?tid=MB2B3966739039667390&ct=19249&tsum=20bdbd3a22909e8d89aabe7a923c8c5b
台湾-爱尔达体育2台,http://50.7.238.114:8278/eltasport2_twn/playlist.m3u8?tid=ME3E4844502848445028&ct=19317&tsum=035fc643389fcb4a6bf124bca1248aab
台湾-TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
台湾-TVBS星河,http://r.jdshipin.com/sXuuD
台湾-TVBS新闻,http://2023.stream-link.org/tv/2083798658
台湾-TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
台湾-TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
台湾-TVBS新闻,http://50.7.238.114:8278/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8
台湾-TVBS欢乐台,http://50.7.238.114:8278/tvbshuanle_twn/playlist.m3u8?ct=19193&tid=MC8C2318787923187879&tsum=394d2b9af3df7846e2cdc60d69dd4219
台湾-TVBS财经,http://2023.stream-link.org/tv/342221541
台湾-TVBS,http://50.7.238.114:8278/tvbs/playlist.m3u8?tid=MDED5111960351119603&ct=19226&tsum=49931e2d3885c468d56ffae2c2db9e6e
台湾-ELEVEN体育2台,http://61.221.81.93:8078/hls/26/80/esport2.m3u8
澳门-卫视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳门-莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门-莲花,http://lu1.cc/itv/gatv/lhws.php
澳门-莲花,http://nettvpro.live/hls/lotustv.php
澳门-莲花,http://nettvpro.live/hls/lotustv.php?zgangd
澳门-莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门-澳亚卫视,http://live.mastvnet.com:800/4rlff1m/1024/live.m3u8
澳门-澳亚卫视,http://live.mastvnet.com:800/4rlff1m/a/live.m3u8
澳门-澳亚卫视,http://live.mastvnet.com:800/4rlff1m/live.m3u8
澳门-澳亚卫视,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=aoya_1500
澳门-澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
新加坡-亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡-亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡-亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡-亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
新加坡-亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
新加坡-亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡-亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
韩国-tvN电影,http://210.210.155.37/dr9445/h/h21/index.m3u8
俄罗斯-金砖中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
